width,height,total_accuracy,accuracy_found
192,128,35.0,65.33333333333333
256,128,34.285714285714285,64.0
320,128,29.714285714285715,59.42857142857143
384,128,28.857142857142858,57.714285714285715
448,128,29.857142857142858,59.714285714285715
512,128,29.857142857142858,59.714285714285715
576,128,29.857142857142858,59.714285714285715
640,128,29.857142857142858,59.714285714285715
704,192,57.714285714285715,67.33333333333333
768,192,57.714285714285715,67.33333333333333
832,192,57.57142857142857,67.16666666666667
896,192,57.57142857142857,67.16666666666667
960,192,57.57142857142857,67.16666666666667
1024,192,58.0,67.66666666666667
1088,192,58.0,67.66666666666667
1152,192,58.142857142857146,67.83333333333333
1216,256,64.71428571428571,69.6923076923077
1280,256,64.71428571428571,69.6923076923077
1344,256,64.71428571428571,69.6923076923077
1408,256,64.71428571428571,69.6923076923077
1472,256,65.14285714285714,70.15384615384616
1536,256,65.14285714285714,70.15384615384616
192,128,35.0,65.33333333333333
256,128,34.285714285714285,64.0
320,128,29.714285714285715,59.42857142857143
384,128,28.857142857142858,57.714285714285715
448,128,29.857142857142858,59.714285714285715
512,128,29.857142857142858,59.714285714285715
576,128,29.857142857142858,59.714285714285715
640,128,29.857142857142858,59.714285714285715
192,192,39.57142857142857,61.55555555555556
256,192,49.714285714285715,60.52173913043478
320,192,55.42857142857143,62.08
384,192,56.42857142857143,63.2
448,192,54.714285714285715,63.833333333333336
512,192,54.285714285714285,63.333333333333336
576,192,55.142857142857146,64.33333333333333
640,192,56.57142857142857,66.0
192,256,43.142857142857146,63.578947368421055
256,256,55.142857142857146,67.1304347826087
320,256,58.142857142857146,60.2962962962963
384,256,61.42857142857143,66.15384615384616
448,256,62.142857142857146,66.92307692307692
512,256,64.57142857142857,69.53846153846153
576,256,63.57142857142857,68.46153846153847
640,256,63.714285714285715,68.61538461538461
192,320,38.857142857142854,64.0
256,320,59.857142857142854,67.04
320,320,62.857142857142854,65.18518518518519
384,320,57.285714285714285,57.285714285714285
448,320,56.857142857142854,58.96296296296296
512,320,55.857142857142854,57.925925925925924
576,320,54.857142857142854,56.888888888888886
640,320,56.142857142857146,58.22222222222222
192,384,39.285714285714285,64.70588235294117
256,384,59.714285714285715,66.88
320,384,65.57142857142857,68.0
384,384,64.28571428571429,64.28571428571429
448,384,58.714285714285715,60.888888888888886
512,384,58.285714285714285,60.44444444444444
576,384,59.0,59.0
640,384,59.57142857142857,61.77777777777778
192,448,39.285714285714285,64.70588235294117
256,448,59.714285714285715,66.88
320,448,69.0,71.55555555555556
384,448,65.42857142857143,65.42857142857143
448,448,61.285714285714285,63.55555555555556
512,448,52.857142857142854,54.81481481481482
576,448,57.142857142857146,57.142857142857146
640,448,56.285714285714285,58.370370370370374
192,512,39.285714285714285,64.70588235294117
256,512,58.0,67.66666666666667
320,512,68.57142857142857,71.11111111111111
384,512,66.85714285714286,66.85714285714286
448,512,63.0,65.33333333333333
512,512,55.42857142857143,57.48148148148148
576,512,53.42857142857143,53.42857142857143
640,512,51.142857142857146,53.03703703703704
192,576,39.285714285714285,64.70588235294117
256,576,59.0,68.83333333333333
320,576,68.57142857142857,71.11111111111111
384,576,66.42857142857143,66.42857142857143
448,576,63.142857142857146,65.48148148148148
512,576,54.142857142857146,56.148148148148145
576,576,54.285714285714285,54.285714285714285
640,576,49.285714285714285,51.111111111111114
