[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[166.50237     87.50856      0.45395613],[173.51323     85.491        0.46006787],[208.48524   138.48454     0.5743395],[233.50577    191.49539      0.55365074],[159.50504    89.49109     0.3951571],[136.49721   135.4975      0.3425932],[ 70.50684    186.51816      0.28440174],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[1.8493128e+01 1.9748918e+02 1.0288438e-01],[2.4497438e+01 1.9951129e+02 9.7792938e-02],[ 67.48119    188.5163       0.20820534],[209.50868   200.50119     0.6262753],[212.4986     197.51758      0.58022153],[239.51457    197.50008      0.42113706]
[199.62248    338.5874       0.52473557],[184.58575    270.99207      0.34351045],[2.1275244e+02 2.6160382e+02 2.5209701e-01],[1.1319843e+02 3.4800635e+02 1.2966581e-01],[6.8156708e+01 4.0435486e+02 2.6879436e-01],[152.6654    263.49124     0.3416969],[105.709984   342.3711       0.61651564],[ 36.16981   408.1057      0.6352309],[280.385     135.73608     0.6494458],[274.74536    162.05074      0.54254484],[349.8609     255.98631      0.65041214],[415.64914   376.186       0.6609006],[291.6469   111.304985   0.692659],[372.4178    248.43658     0.8247358],[455.0661    383.70032     0.7695301],[0. 0. 0.],[1.7333446e+02 3.4235922e+02 2.8454232e-01],[0. 0. 0.],[165.79755    310.41794      0.38470793],[402.49832   409.9828      0.6371051],[417.52335   411.8605      0.5898496],[464.4812   393.0678     0.683431],[376.18472   404.33936     0.5897469],[378.05405    396.82355      0.53038496],[4.2880984e+02 3.8558447e+02 4.0731788e-01]
[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[167.49423    87.49287     0.4851541],[175.48534     85.4936       0.48105276],[208.48444   137.50528     0.5771699],[233.5119     191.5013       0.55457675],[160.50047     87.51172      0.42921716],[135.51056    135.50853      0.36788768],[ 70.50175   187.47612     0.2946709],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[1.8493347e+01 1.9748924e+02 1.0292688e-01],[2.4497480e+01 1.9951096e+02 9.7867094e-02],[ 67.48174    188.51399      0.21782064],[209.50206  200.50133    0.626988],[212.49565    197.51988      0.58118916],[239.51555   197.50294     0.4228727]
[199.62279    338.58737      0.52470416],[184.58437   270.99243     0.3432927],[2.1274835e+02 2.6160413e+02 2.5060022e-01],[1.1319807e+02 3.4800748e+02 1.2978323e-01],[6.8156769e+01 4.0435471e+02 2.6893133e-01],[152.66606   263.49045     0.3416195],[105.70994   342.37103     0.6164849],[ 36.169758   408.1057       0.63522613],[278.52194   135.73741     0.6334045],[272.87662    162.03793      0.51934755],[349.88095   257.83646     0.6125786],[415.6384    376.17828     0.6539016],[291.6342     111.309616     0.68596447],[370.59164   248.42584     0.8128869],[453.21307   383.69366     0.7730666],[0. 0. 0.],[1.7333424e+02 3.4235962e+02 2.8441501e-01],[0. 0. 0.],[165.79771    310.41882      0.38406107],[402.4831    409.98474     0.6332421],[417.51202   411.86426     0.5868345],[466.3276    393.08176     0.6924012],[376.18124    404.34515      0.58476585],[376.20673   396.82895     0.5227871],[4.2878644e+02 3.8557486e+02 3.9360556e-01]
[199.62248    338.5874       0.52473557],[184.58575    270.99207      0.34351045],[2.1275244e+02 2.6160382e+02 2.5209701e-01],[1.1319843e+02 3.4800635e+02 1.2966581e-01],[6.8156708e+01 4.0435486e+02 2.6879436e-01],[152.6654    263.49124     0.3416969],[105.709984   342.3711       0.61651564],[ 36.16981   408.1057      0.6352309],[280.385     135.73608     0.6494458],[274.74536    162.05074      0.54254484],[349.8609     255.98631      0.65041214],[415.64914   376.186       0.6609006],[291.6469   111.304985   0.692659],[372.4178    248.43658     0.8247358],[455.0661    383.70032     0.7695301],[0. 0. 0.],[1.7333446e+02 3.4235922e+02 2.8454232e-01],[0. 0. 0.],[165.79755    310.41794      0.38470793],[402.49832   409.9828      0.6371051],[417.52335   411.8605      0.5898496],[464.4812   393.0678     0.683431],[376.18472   404.33936     0.5897469],[378.05405    396.82355      0.53038496],[4.2880984e+02 3.8558447e+02 4.0731788e-01]
[199.62279    338.58737      0.52470416],[184.58437   270.99243     0.3432927],[2.1274835e+02 2.6160413e+02 2.5060022e-01],[1.1319807e+02 3.4800748e+02 1.2978323e-01],[6.8156769e+01 4.0435471e+02 2.6893133e-01],[152.66606   263.49045     0.3416195],[105.70994   342.37103     0.6164849],[ 36.169758   408.1057       0.63522613],[278.52194   135.73741     0.6334045],[272.87662    162.03793      0.51934755],[349.88095   257.83646     0.6125786],[415.6384    376.17828     0.6539016],[291.6342     111.309616     0.68596447],[370.59164   248.42584     0.8128869],[453.21307   383.69366     0.7730666],[0. 0. 0.],[1.7333424e+02 3.4235962e+02 2.8441501e-01],[0. 0. 0.],[165.79771    310.41882      0.38406107],[402.4831    409.98474     0.6332421],[417.51202   411.86426     0.5868345],[466.3276    393.08176     0.6924012],[376.18124    404.34515      0.58476585],[376.20673   396.82895     0.5227871],[4.2878644e+02 3.8557486e+02 3.9360556e-01]
[199.62274   338.58795     0.5256747],[184.58463    270.9955       0.34386563],[2.1275171e+02 2.6160431e+02 2.5124404e-01],[1.1319776e+02 3.4800821e+02 1.3001606e-01],[6.8156815e+01 4.0435522e+02 2.6930600e-01],[152.65166    265.34476      0.34197414],[105.70969   342.3715      0.6172689],[ 36.16998   408.10562     0.6361424],[280.37964    135.73973      0.64053994],[274.7356    162.0437      0.5247563],[349.87216   255.97797     0.6254304],[415.63342   376.181       0.6578356],[291.64175   111.30751     0.6900324],[370.58997    248.42435      0.81562006],[453.21155    381.84656      0.79123175],[0. 0. 0.],[1.7333415e+02 3.4235986e+02 2.8537959e-01],[0. 0. 0.],[165.79721    310.4189       0.38406497],[402.47437   409.98276     0.6326077],[417.51035   411.8533      0.6022678],[466.34344   393.09268     0.7187574],[376.17365   404.34225     0.5828332],[376.19647   396.83133     0.5215591],[4.2875351e+02 3.8559174e+02 3.7568170e-01]
[199.62271   338.5881      0.5256693],[184.58467   270.99506     0.3439482],[2.1275240e+02 2.6160379e+02 2.5136936e-01],[1.1319783e+02 3.4800790e+02 1.3000475e-01],[6.815679e+01 4.043551e+02 2.693404e-01],[152.65237   265.34387     0.3422713],[105.70975   342.37146     0.6173059],[ 36.169952 408.10562    0.636153],[280.38052    135.74092      0.64306545],[274.73846    162.04813      0.52876616],[349.87134   255.98276     0.6316156],[415.63467   376.183       0.6586164],[291.6429    111.309006    0.6915667],[370.58932    248.4279       0.81936085],[453.21463   381.84653     0.7893748],[0. 0. 0.],[1.7333432e+02 3.4235968e+02 2.8552157e-01],[0. 0. 0.],[165.79749    310.4187       0.38450456],[402.4802    409.98196     0.6325251],[417.5147    411.85275     0.6020773],[466.35135    393.08838      0.71973944],[376.179      404.3435       0.58597827],[376.20297   396.83295     0.5244715],[4.2875580e+02 3.8559143e+02 3.7912187e-01]
[199.62326    338.5881       0.52403295],[184.58174    270.9962       0.33818704],[2.1275430e+02 2.6160196e+02 2.4145745e-01],[1.1319789e+02 3.4800668e+02 1.2521650e-01],[6.8161324e+01 4.0435397e+02 2.6823613e-01],[152.65309    265.34354      0.34178203],[105.710724 342.37067    0.618341],[ 36.1703   408.1053     0.636553],[280.38565    135.73227      0.64493155],[274.74298   162.04384     0.5350168],[349.86432   255.97841     0.6199578],[415.62698   376.1894      0.6439662],[291.64856 111.30235   0.69339],[370.59003    248.42679      0.82006407],[455.05133   383.67435     0.7820121],[0. 0. 0.],[1.7333463e+02 3.4236029e+02 2.8447512e-01],[0. 0. 0.],[165.79697   310.41748     0.3799721],[402.48303    409.9875       0.61981237],[417.50827   411.857       0.5944586],[468.21494   393.0909      0.7406353],[376.18008    404.34314      0.58106416],[376.20474    396.8326       0.52233934],[4.2874268e+02 3.8559647e+02 3.6431488e-01]
[199.62328   338.58813     0.5240231],[184.58174    270.99625      0.33817455],[2.1275435e+02 2.6160199e+02 2.4144518e-01],[1.13197914e+02 3.48006714e+02 1.25216246e-01],[6.8161324e+01 4.0435394e+02 2.6822928e-01],[152.65309    265.3435       0.34179464],[105.71073   342.37064     0.6183398],[ 36.1703    408.10532     0.6365524],[280.38586    135.73184      0.64500904],[274.7431     162.04369      0.53515697],[349.86444   255.97935     0.6206757],[415.62823   376.19025     0.6439245],[291.64877   111.3019      0.6934277],[370.59058   248.42807     0.8207822],[455.0518     383.67468      0.78208745],[0. 0. 0.],[1.7333464e+02 3.4236035e+02 2.8446689e-01],[0. 0. 0.],[165.79692    310.41733      0.37996757],[402.48315  409.98773    0.620446],[417.5087     411.85715      0.59486866],[468.21637    393.09048      0.74106026],[376.1802    404.34354     0.5809345],[376.2051     396.83267      0.52223945],[4.2874457e+02 3.8559662e+02 3.6439642e-01]
